様式 1. (共通)室仕様入力シート,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
①,①,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦,⑧,,,,
3F,便所1,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,,,日中のみ利用される喫煙室,,
3F,便所2,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,,,厨房,,
3F,DS・PS1,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,,,屋内駐車場,,
3F,DS・PS2,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,,,機械室,,
3F,ES1,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,,,電気室,,
3F,ES2,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,,,湯沸室等,,
3F,物入,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,,,食品庫等,,
3F,給湯室,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,,,印刷室等,,
3F,機械室,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,,,廃棄物保管場所等,,
3F,事務室1,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,,,非主要室,,
3F,事務室2,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,,,病室,,
3F,ローカ,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,,,浴室等,,
3F,ローカ（湯沸脇）,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,,,看護職員室,,
3F,階段室,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,,,終日利用される廊下,,
4F,EVホール,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,,,終日利用されるロビー,,
4F,自販機コーナー,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,,,終日利用される共用部の便所,,
4F,便所1,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,,,終日利用される喫煙室,,
4F,便所2,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,,,診察室,,
4F,DS・PS1,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,,,待合室,,
4F,DS・PS2,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,,,手術室,,
4F,ES1,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,,,検査室,,
4F,ES2,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,,,集中治療室,,
4F,物入,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,,,解剖室等,,
4F,給湯室,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,,,レストラン,,
4F,機械室,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,,,事務室,,
4F,事務室1,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,,,更衣室又は倉庫,,
4F,事務室2,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,,,日中のみ利用される廊下,,
4F,ローカ,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,,,日中のみ利用されるロビー,,
4F,ローカ（湯沸脇）,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,,,日中のみ利用される共用部の便所,,
4F,階段室,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,,,日中のみ利用される喫煙室,,
5F,EVホール,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,,,厨房,,
5F,自販機コーナー,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,,,屋内駐車場,,
5F,便所1,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,,,機械室,,
5F,便所2,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,,,電気室,,
5F,DS・PS1,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,,,湯沸室等,,
5F,DS・PS2,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,,,食品庫等,,
5F,ES1,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,,,印刷室等,,
5F,ES2,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,,,廃棄物保管場所等,,
5F,物入,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,,,非主要室,,
5F,給湯室,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,,,大型店の売場,,
5F,機械室,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,,,専門店の売場,,
5F,事務室1,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,,,スーパーマーケットの売場,,
5F,事務室2,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,,,荷さばき場,,
5F,ローカ,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,,,事務室,,
5F,ローカ（湯沸脇）,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,,,更衣室又は倉庫,,
5F,階段室,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,,,ロビー,,
6F,EVホール,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,,,便所,,
6F,自販機コーナー,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,,,喫煙室,,
6F,便所1,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,,,厨房,,
6F,便所2,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,,,屋内駐車場,,
6F,DS・PS1,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,,,機械室,,
6F,DS・PS2,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,,,電気室,,
6F,ES1,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,,,湯沸室等,,
6F,ES2,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,,,食品庫等,,
6F,物入,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,,,印刷室等,,
6F,給湯室,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,,,廃棄物保管場所等,,
6F,機械室,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,,,非主要室,,
6F,事務室1,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,,,小中学校の教室,,
6F,事務室2,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,,,高等学校の教室,,
6F,ローカ,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,,,職員室,,
6F,ローカ（湯沸脇）,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,,,小中学校又は高等学校の食堂,,
6F,階段室,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,,,大学の教室,,
7F,EVホール,事務所等,廊下,16.32,5,2.6,■,,■,,事務所モデル,,,大学の食堂,,
7F,自販機コーナー,事務所等,廊下,25.87,4,2.6,,,■,,事務所モデル,,,事務室,,
7F,便所1,事務所等,便所,33.28,4,2.4,,■,■,,事務所モデル,,,研究室,,
7F,便所2,事務所等,便所,33.77,4,2.4,,■,■,,事務所モデル,,,電子計算機器演習室,,
7F,DS・PS1,事務所等,機械室,5.76,4,4,,,■,,事務所モデル,,,実験室,,
7F,DS・PS2,事務所等,機械室,14.4,4,4,,,■,,事務所モデル,,,実習室,,
7F,ES1,事務所等,機械室,8.64,4,4,,,■,,事務所モデル,,,講堂又は体育館,,
7F,ES2,事務所等,機械室,9.6,4,4,,,■,,事務所モデル,,,宿直室,,
7F,物入,事務所等,更衣室又は倉庫,7.59,4,4,,■,■,,事務所モデル,,,更衣室又は倉庫,,
7F,給湯室,事務所等,湯沸室等,5.28,4,2.4,,■,■,,事務所モデル,,,廊下,,
7F,機械室,事務所等,機械室,45.5,4,4,,■,■,,事務所モデル,,,ロビー,,
7F,事務室1,事務所等,事務室,597,4,2.6,■,,■,■,事務所モデル,,,便所,,
7F,事務室2,事務所等,事務室,499.5,4,2.6,■,,■,■,事務所モデル,,,喫煙室,,
7F,ローカ,事務所等,廊下,117.74,4,2.4,,,■,,事務所モデル,,,厨房,,
7F,ローカ（湯沸脇）,事務所等,廊下,3.6,5,2.4,,,■,,事務所モデル,,,屋内駐車場,,
7F,階段室,事務所等,廊下,12.5,5,2.4,,,■,,事務所モデル,,,機械室,,
RF,EV機械室,事務所等,機械室,50,4,4,,■,■,,事務所モデル,,,電気室,,
RF,階段室,事務所等,廊下,13.5,4,4,,,■,,事務所モデル,,,湯沸室等,,
1F,非空調室合計,事務所等,機械室,707.15,4,4,,,,,事務所モデル,,,食品庫等,,
2F,非空調室合計,事務所等,廊下,376.1,4,4,,,,,事務所モデル,,,印刷室等,,
3F,非空調室合計,事務所等,廊下,376.1,4,4,,,,,事務所モデル,,,廃棄物保管場所等,,
4F,非空調室合計,事務所等,廊下,376.1,4,4,,,,,事務所モデル,,,非主要室,,
5F,非空調室合計,事務所等,廊下,376.1,4,4,,,,,事務所モデル,,,レストランの客室,,
6F,非空調室合計,事務所等,廊下,376.1,4,4,,,,,事務所モデル,,,軽食店の客室,,
7F,非空調室合計,事務所等,廊下,376.1,4,4,,,,,事務所モデル,,,喫茶店の客室,,
,,,,,,,,,,,,,,バー,,
,,,,,,,,,,,,,,フロント,,
,,,,,,,,,,,,,,事務室,,
,,,,,,,,,,,,,,更衣室又は倉庫,,
,,,,,,,,,,,,,,廊下,,
,,,,,,,,,,,,,,ロビー,,
,,,,,,,,,,,,,,便所,,
,,,,,,,,,,,,,,喫煙室,,
,,,,,,,,,,,,,,厨房,,
,,,,,,,,,,,,,,屋内駐車場,,
,,,,,,,,,,,,,,機械室,,
,,,,,,,,,,,,,,電気室,,
,,,,,,,,,,,,,,湯沸室等,,
,,,,,,,,,,,,,,食品庫等,,
,,,,,,,,,,,,,,印刷室等,,
,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,,,,,,,,,,非主要室,,
,,,,,,,,,,,,,,アスレチック場の運動室,,
,,,,,,,,,,,,,,アスレチック場のロビー,,
,,,,,,,,,,,,,,アスレチック場の便所,,
,,,,,,,,,,,,,,アスレチック場の喫煙室,,
,,,,,,,,,,,,,,公式競技用スケート場,,
,,,,,,,,,,,,,,公式競技用体育館,,
,,,,,,,,,,,,,,一般競技用スケート場,,
,,,,,,,,,,,,,,一般競技用体育館,,
,,,,,,,,,,,,,,レクリエーション用スケート場,,
,,,,,,,,,,,,,,レクリエーション用体育館,,
,,,,,,,,,,,,,,競技場の客席,,
,,,,,,,,,,,,,,競技場のロビー,,
,,,,,,,,,,,,,,競技場の便所,,
,,,,,,,,,,,,,,競技場の喫煙室,,
,,,,,,,,,,,,,,公衆浴場の浴室,,
,,,,,,,,,,,,,,公衆浴場の脱衣所,,
,,,,,,,,,,,,,,公衆浴場の休憩室,,
,,,,,,,,,,,,,,公衆浴場のロビー,,
,,,,,,,,,,,,,,公衆浴場の便所,,
,,,,,,,,,,,,,,公衆浴場の喫煙室,,
,,,,,,,,,,,,,,映画館の客席,,
,,,,,,,,,,,,,,映画館のロビー,,
,,,,,,,,,,,,,,映画館の便所,,
,,,,,,,,,,,,,,映画館の喫煙室,,
,,,,,,,,,,,,,,図書館の図書室,,
,,,,,,,,,,,,,,図書館のロビー,,
,,,,,,,,,,,,,,図書館の便所,,
,,,,,,,,,,,,,,図書館の喫煙室,,
,,,,,,,,,,,,,,博物館の展示室,,
,,,,,,,,,,,,,,博物館のロビー,,
,,,,,,,,,,,,,,博物館の便所,,
,,,,,,,,,,,,,,博物館の喫煙室,,
,,,,,,,,,,,,,,劇場の楽屋,,
,,,,,,,,,,,,,,劇場の舞台,,
,,,,,,,,,,,,,,劇場の客席,,
,,,,,,,,,,,,,,劇場のロビー,,
,,,,,,,,,,,,,,劇場の便所,,
,,,,,,,,,,,,,,劇場の喫煙室,,
,,,,,,,,,,,,,,カラオケボックス,,
,,,,,,,,,,,,,,ボーリング場,,
,,,,,,,,,,,,,,ぱちんこ屋,,
,,,,,,,,,,,,,,競馬場又は競輪場の客席,,
,,,,,,,,,,,,,,競馬場又は競輪場の券売場,,
,,,,,,,,,,,,,,競馬場又は競輪場の店舗,,
,,,,,,,,,,,,,,競馬場又は競輪場のロビー,,
,,,,,,,,,,,,,,競馬場又は競輪場の便所,,
,,,,,,,,,,,,,,競馬場又は競輪場の喫煙室,,
,,,,,,,,,,,,,,社寺の本殿,,
,,,,,,,,,,,,,,社寺のロビー,,
,,,,,,,,,,,,,,社寺の便所,,
,,,,,,,,,,,,,,社寺の喫煙室,,
,,,,,,,,,,,,,,厨房,,
,,,,,,,,,,,,,,屋内駐車場,,
,,,,,,,,,,,,,,機械室,,
,,,,,,,,,,,,,,電気室,,
,,,,,,,,,,,,,,湯沸室等,,
,,,,,,,,,,,,,,食品庫等,,
,,,,,,,,,,,,,,印刷室等,,
,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,,,,,,,,,,非主要室,,
,,,,,,,,,,,,,,倉庫,,
,,,,,,,,,,,,,,屋外駐車場又は駐輪場,,
,,,,,,,,,,,,,,屋内廊下,,
,,,,,,,,,,,,,,ロビー,,
,,,,,,,,,,,,,,管理人室,,
,,,,,,,,,,,,,,集会室,,
,,,,,,,,,,,,,,屋外廊下,,
,,,,,,,,,,,,,,屋内駐車場,,
,,,,,,,,,,,,,,機械室,,
,,,,,,,,,,,,,,電気室,,
,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
