都道府県名,市町村名,,"告示別表第10
で定める
地域の区分","年間の
日射
地域区分","暖房期の
日射
地域区分"
,ｼ,庄内町（旧立川町）,4,2,2
,,庄内町（旧余目町）,4,3,2
,,白鷹町,4,3,2
,,新庄市,3,2,2
,ﾀ,高畠町,3,3,3
,ﾂ,鶴岡市,4,3,2
,ﾃ,天童市,4,3,2
,ﾄ,戸沢村,3,2,2
,ﾅ,長井市,3,3,2
,,中山町,4,3,3
,,南陽市,3,3,3
,ﾆ,西川町,3,3,2
,ﾋ,東根市,4,3,2
,ﾌ,舟形町,3,2,2
,ﾏ,真室川町,3,2,2
,ﾐ,三川町,4,3,2
,ﾑ,村山市,4,3,2
,ﾓ,最上町,3,2,2
,ﾔ,山形市,4,3,3
,,山辺町,4,3,3
,ﾕ,遊佐町,4,2,2
,ﾖ,米沢市,4,3,3
07.福島県,ｱ,会津坂下町,4,3,2
,,会津美里町（旧会津高田町、旧新鶴村）,4,3,2
,,会津美里町（旧会津本郷町）,4,3,3
,,会津若松市（旧会津若松市、旧河東町）,4,3,3
,,会津若松市（旧北会津村）,4,3,2
,,浅川町,4,3,4
,ｲ,飯舘村,3,4,4
,,石川町,4,4,4
,,泉崎村,4,3,4
,,猪苗代町,3,3,3
,,いわき市,5,4,4
,ｵ,大熊町,5,4,4
,,大玉村,4,3,4
,,小野町,3,4,4
,ｶ,鏡石町,4,3,4
,,葛尾村,3,4,4
,,金山町,3,3,3
,,川内村,3,4,4
,,川俣町,4,3,3
,ｷ,喜多方市（旧喜多方市、旧熱塩加納村、旧山都町、旧高郷村）,4,3,3
,,喜多方市（旧塩川町）,4,3,2
,,北塩原村,3,3,3
,ｸ,国見町,4,3,3
,ｺ,桑折町,4,3,3
,,郡山市,5,3,3
,ｻ,鮫川村,3,4,4
,ｼ,下郷町,3,3,3
,,昭和村,3,3,3
,,白河市,4,3,4
,,新地町,5,3,4
,ｽ,須賀川市,4,3,4
,ｿ,相馬市,5,3,4
,ﾀ,只見町,3,3,2
,,伊達市,4,3,3
,,棚倉町,4,3,4
,,玉川村,4,4,4
,,田村市,4,4,4
,ﾃ,天栄村,4,3,4
,ﾄ,富岡町,5,4,4
,ﾅ,中島村,4,4,4
,,浪江町,5,4,4
,,楢葉町,5,4,4
,ﾆ,西会津町,4,3,2
,,西郷村,4,3,3
,,二本松市（旧二本松市、旧安達町）,4,3,3
,,二本松市（旧岩代町）,4,3,4
,,二本松市（旧東和町）,3,4,3
,ﾊ,塙町,4,3,3
,,磐梯町,3,3,3
,ﾋ,檜枝岐村,2,3,4
,,平田村,3,4,4
,,広野町,5,4,4
,ﾌ,福島市（旧福島市）,5,3,2
,,福島市（旧飯野町）,5,3,3
,,双葉町,5,4,4
,,古殿町,4,4,4
,ﾐ,三島町,3,3,3
,,南会津町（旧田島町）,3,3,3
,,南会津町（旧舘岩村）,2,3,4
,,南会津町（旧伊南村、旧南郷村）,2,3,3
,,南相馬市（旧原町市、旧鹿島町）,5,4,4
,,南相馬市（旧小高町）,5,4,3
,,三春町,4,4,4
,ﾓ,本宮市,4,3,3
,ﾔ,柳津町,3,3,2
,,矢吹町,4,3,4
,,矢祭町,4,3,3
,ﾕ,湯川村,4,3,2
08.茨城県,ｱ,阿見町,5,3,3
,ｲ,石岡市,5,3,3
,,潮来市,6,4,4
,,稲敷市,5,3,3
,,茨城町,5,3,4
,ｳ,牛久市,5,3,3
,ｵ,大洗町,5,4,2
,,小美玉市（旧小川町、旧美野里町）,5,3,3
,,小美玉市（旧玉里村）,5,3,4
,ｶ,笠間市（旧笠間市、旧友部町）,5,3,4
,,笠間市（旧岩間町）,5,3,3
,,鹿嶋市,6,4,4
,,かすみがうら市（旧霞ケ浦町）,5,3,4
,,かすみがうら市（旧千代田町）,5,3,3
,,神栖市,6,4,4
,,河内町,5,3,3
,ｷ,北茨城市,5,4,4
,ｺ,古河市（旧古河市、旧総和町）,6,4,3
,,古河市（旧三和町）,6,4,4
,,五霞町,5,4,3
,ｻ,境町,5,4,3
,,桜川市,5,3,3
,ｼ,下妻市,5,3,4
,,常総市（旧水海道市）,5,3,3
,,常総市（旧石下町）,5,3,4
,,城里町（旧常北町、旧桂村）,5,3,4
,,城里町（旧七会村）,4,4,4
,ﾀ,大子町,4,3,3
,,高萩市,5,4,4
,ﾁ,筑西市（旧下館市、旧明野町、旧協和町）,5,3,3
,,筑西市（旧関城町）,5,3,4
,ﾂ,つくば市（旧つくば市）,5,3,4
,,つくば市（旧茎崎町）,5,3,3
,,つくばみらい市,5,3,3
,,土浦市（旧土浦市）,6,3,3
,,土浦市（旧新治村）,5,3,3
,ﾄ,東海村,5,4,3
,,利根町,5,3,3
,,取手市,5,3,3
,ﾅ,那珂市,5,3,4
,,行方市,5,3,4
,ﾊ,坂東市,5,4,3
,ﾋ,常陸太田市,5,3,4
,,常陸大宮市,5,3,4
,,日立市,6,3,3
,,ひたちなか市,5,4,4
,ﾎ,鉾田市,5,3,4
,ﾐ,水戸市,5,4,4
,,美浦村,5,3,3
,ﾓ,守谷市,6,3,3
,ﾔ,八千代町,5,3,4
,ﾕ,結城市,5,4,4
,ﾘ,龍ケ崎市,6,3,3
09.栃木県,ｱ,足利市,6,4,4
,ｲ,市貝町,5,4,4
,ｳ,宇都宮市,5,4,4
,ｵ,大田原市,5,3,4
,,小山市,5,4,4
,ｶ,鹿沼市,5,4,4
,,上三川町,5,4,4
,ｻ,さくら市,5,3,4
,,佐野市,6,4,4
,ｼ,塩谷町,4,3,4
,,下野市,5,4,4
,ﾀ,高根沢町,5,3,4
,ﾄ,栃木市（旧栃木市、旧西方町、旧大平町、旧岩舟町、旧都賀町）,5,4,4
,,栃木市（旧藤岡町）,5,4,3
,ﾅ,那珂川町,5,3,4
,,那須烏山市,5,3,4
,,那須塩原市（旧黒磯市）,4,3,3
,,那須塩原市（旧西那須野町、旧塩原町）,4,3,4
,,那須町,4,3,3
,ﾆ,日光市（旧日光市、旧今市市）,4,4,4
,,日光市（旧足尾町）,3,4,5
,,日光市（旧栗山村）,2,4,4
,,日光市（旧藤原町）,4,4,5
,ﾉ,野木町,5,4,3
,ﾊ,芳賀町,5,4,4
,ﾏ,益子町,5,4,4
,ﾐ,壬生町,5,4,4
,ﾓ,真岡市,5,4,4
,,茂木町,5,4,4
,ﾔ,矢板市,5,3,4
10.群馬県,ｱ,安中市（旧安中市）,5,4,5
,,安中市（旧松井田町）,5,4,4
,ｲ,伊勢崎市（旧伊勢崎市、旧佐波郡東村、旧境町）,6,4,3
,,伊勢崎市（旧赤堀町）,6,4,4
,,板倉町,5,4,3
,ｳ,上野村,3,4,4
,ｵ,邑楽町,6,4,3
,,大泉町,6,4,3
,,太田市,6,4,3
,ｶ,片品村,2,4,4
,,川場村,3,4,5
,,神流町,4,4,4
,,甘楽町,5,4,4
,ｷ,桐生市（旧桐生市）,6,4,4
,,桐生市（旧新里村）,5,4,4
,,桐生市（旧黒保根村）,4,4,4
,ｸ,草津町,2,4,5
,ｼ,渋川市（旧渋川市、旧北橘村、旧子持村、旧伊香保町）,5,4,5
,,渋川市（旧赤城村、旧小野上村）,5,4,4
,,下仁田町,5,4,4
,,昭和村,4,4,4
,,榛東村,5,4,4
,ﾀ,高崎市（旧高崎市、旧榛名町、旧箕郷町、旧群馬町、旧吉井町）,6,4,4
,,高崎市（旧倉渕村）,4,4,4
,,高崎市（旧新町）,6,4,3
,,高山村,3,4,4
,,館林市,6,4,3
,,玉村町,6,4,3
,ﾁ,千代田町,6,4,4
,ﾂ,嬬恋村,2,4,4
,ﾄ,富岡市,5,4,4
,ﾅ,中之条町,4,4,4
,,長野原町,3,4,4
,,南牧村,4,4,4
,ﾇ,沼田市（旧沼田市）,4,4,4
,,沼田市（旧白沢村、旧利根村）,4,4,5
,ﾋ,東吾妻町,4,4,4
,ﾌ,藤岡市,6,4,4
,ﾏ,前橋市,6,4,4
,ﾐ,みどり市（旧勢多郡東村、旧笠懸町）,5,4,4
,,みどり市（旧大間々町）,5,4,5
,,みなかみ町（旧月夜野町）,4,4,4
,,みなかみ町（旧水上町）,4,3,4
,,みなかみ町（旧新治村）,4,4,3
,ﾒ,明和町,6,4,3
,ﾖ,吉岡町,5,4,4
11.埼玉県,ｱ,上尾市,6,4,3
,,朝霞市,6,3,4
,ｲ,伊奈町,6,4,3
,,入間市,6,4,3
,ｵ,小鹿野町,5,4,4
,,小川町,5,4,3
,,桶川市,6,4,3
,,越生町,5,3,4
,ｶ,春日部市,6,4,3
,,加須市,6,4,3
,,神川町,5,4,4
,,上里町,6,4,3
,,川口市,6,3,3
,,川越市,6,4,3
,,川島町,5,4,3
,ｷ,北本市,6,4,3
,,行田市（旧行田市）,6,4,3
,,行田市（旧南河原村）,6,4,4
,ｸ,久喜市,6,4,3
,,熊谷市（旧熊谷市）,6,4,4
,,熊谷市（旧大里村、旧江南町、旧妻沼町）,6,4,3
,ｺ,鴻巣市,6,4,3
,,越谷市,6,3,4
,ｻ,さいたま市,6,4,3
,,坂戸市,6,3,3
,,幸手市,6,4,3
,,狭山市,6,4,3
,ｼ,志木市,6,4,2
,,白岡市,6,4,3
,ｽ,杉戸町,6,4,3
,ｿ,草加市,6,3,3
,ﾁ,秩父市（旧秩父市、旧吉田町、旧荒川村）,5,4,4
,,秩父市（旧大滝村）,4,4,4
,ﾂ,鶴ヶ島市,6,3,3
,ﾄ,ときがわ町（旧都幾川村）,5,3,4
,,ときがわ町（旧玉川村）,5,3,3
,,所沢市,6,4,3
,,戸田市,6,3,3
,ﾅ,長瀞町,5,4,4
,,滑川町,5,4,3
,ﾆ,新座市,6,3,2
,ﾊ,蓮田市,6,4,3
,,鳩山町,5,3,3
,,羽生市,6,4,3
,,飯能市,5,3,4
,ﾋ,東秩父村,5,4,4
,,東松山市,6,4,3
,,日高市,5,3,3
,ﾌ,深谷市,6,4,3
,,富士見市,6,4,3
,,ふじみ野市,6,4,3
,ﾎ,本庄市（旧本庄市）,6,4,3
,,本庄市（旧児玉町）,6,4,4
,ﾏ,松伏町,6,3,4
,ﾐ,三郷市,6,3,3
,,美里町,5,4,3
,,皆野町,5,4,4
,,宮代町,6,4,3
,,三芳町,6,4,3
,ﾓ,毛呂山町,5,3,3
,ﾔ,八潮市,6,3,3
,ﾖ,横瀬町,5,4,4
,,吉川市,6,3,4
,,吉見町,5,4,3
,,寄居町,5,4,3
,ﾗ,嵐山町,5,4,3
,ﾜ,和光市,6,3,3
,,蕨市,6,3,3
12.千葉県,ｱ,旭市（旧旭市、旧飯岡町）,6,4,3
,,旭市（旧干潟町、旧海上町）,6,4,4
,,我孫子市,6,3,3
,ｲ,いすみ市,6,4,3
,,市川市,6,3,3
,,一宮町,6,3,3
,,市原市,6,3,3
,,印西市,5,3,3
,ｳ,浦安市,6,4,3
,ｵ,大網白里市,6,3,3
,,大多喜町,6,3,3
,,御宿町,6,4,3
,ｶ,柏市,6,3,4
,,勝浦市,7,4,3
,,香取市（旧佐原市）,6,3,3
,,香取市（旧小見川町、旧山田町、旧栗源町）,6,3,4
,,鎌ケ谷市,6,3,4
,,鴨川市,6,4,3
,ｷ,木更津市,6,3,3
,,君津市,6,3,4
,,鋸南町,6,4,3
,ｸ,九十九里町,6,4,3
,ｺ,神崎町,5,3,3
,ｻ,栄町,5,3,3
,,佐倉市,6,3,3
,,山武市（旧成東町、旧蓮沼村）,6,4,3
,,山武市（旧山武町、旧松尾町）,6,4,4
,ｼ,酒々井町,6,3,3
,,芝山町,6,4,4
,,白子町,6,3,3
,,白井市,6,3,3
,ｿ,匝瑳市（旧八日市場市）,6,4,4
,,匝瑳市（旧野栄町）,6,4,3
,,袖ケ浦市,6,3,3
,ﾀ,多古町,6,3,4
,,館山市,7,4,3
,ﾁ,千葉市,6,4,3
,,銚子市,6,4,4
,,長生村,6,3,3
,,長南町,6,3,3
,ﾄ,東金市,6,4,3
,,東庄町,6,4,4
,,富里市,5,3,3
,ﾅ,長柄町,6,3,3
,,流山市,6,3,4
,,習志野市,6,4,3
,,成田市,6,3,3
,ﾉ,野田市,6,4,3
,ﾌ,富津市,6,4,3
,,船橋市,6,4,3
,ﾏ,松戸市,6,3,3
,ﾐ,南房総市（旧富浦町、旧富山町、旧三芳村、旧千倉町、旧丸山町、旧和田町）,6,4,3
,,南房総市（旧白浜町）,6,4,2
,ﾑ,睦沢町,6,3,3
,ﾓ,茂原市,6,3,3
,ﾔ,八街市,6,4,4
,,八千代市,6,4,2
,ﾖ,横芝光町（旧光町）,6,4,3
,,横芝光町（旧横芝町）,6,4,4
,,四街道市,6,3,4
13.東京都,ｱ,青ヶ島村,7,2,2
,,昭島市,6,4,3
,,あきる野市,5,4,4
,ｲ,稲城市,6,4,3
,ｵ,青梅市,5,4,4
,,大島町,7,4,4
,,小笠原村,8,3,定義なし
,,奥多摩町,4,4,3
,ｷ,清瀬市,6,4,2
,ｸ,国立市,6,4,4
,ｺ,神津島村,7,4,2
,,小金井市,6,4,3
,,国分寺市,6,4,4
,,小平市,6,4,2
,,狛江市,6,3,3
,ﾀ,立川市,6,4,3
,,多摩市,6,4,4
,ﾁ,調布市,6,3,3
,ﾄ,東京都23区,6,3,3
,,利島村,7,4,4
,ﾆ,新島村,7,4,2
,,西東京市,6,3,3
,ﾊ,八王子市,6,4,3
,,八丈町,7,2,1
,,羽村市,5,4,3
,ﾋ,東久留米市,6,4,4
,,東村山市,6,4,3
,,東大和市,6,4,3
,,日野市,6,4,3
,,日の出町,5,4,4
,,檜原村,4,4,4
,ﾌ,府中市,6,4,3
,,福生市,6,4,3
,ﾏ,町田市,6,4,3
,ﾐ,御蔵島村,7,4,2
,,瑞穂町,5,4,3
,,三鷹市,6,3,3
,,三宅村,7,4,2
,ﾑ,武蔵野市,6,3,3
,,武蔵村山市,6,4,3
14.神奈川県,ｱ,愛川町,5,3,4
,,厚木市,6,3,3
,,綾瀬市,6,4,3
,ｲ,伊勢原市,6,3,4
,ｴ,海老名市,6,3,3
,ｵ,大磯町,6,4,3
,,大井町,6,3,3
,,小田原市,6,4,3
,ｶ,開成町,6,3,3
,,鎌倉市,6,4,3
,,川崎市,6,4,3
,ｷ,清川村,5,3,3
,ｻ,相模原市,6,4,3
,,座間市,6,4,3
,,寒川町,6,4,3
,ｽ,逗子市,6,4,3
,ﾁ,茅ヶ崎市,6,4,3
,ﾅ,中井町,6,4,4
,ﾆ,二宮町,6,4,2
,ﾊ,箱根町,6,4,4
,,秦野市,6,3,3
,,葉山町,6,4,3
,ﾋ,平塚市,6,4,3
,ﾌ,藤沢市,7,4,3
,ﾏ,松田町,6,3,3
,,真鶴町,6,4,3
,ﾐ,三浦市,7,4,3
,,南足柄市,6,3,3
,ﾔ,山北町,5,3,3
,,大和市,6,4,3
,ﾕ,湯河原町,6,3,3
,ﾖ,横須賀市,7,4,3
,,横浜市,6,4,3
15.新潟県,ｱ,阿賀野市,5,3,2
,,阿賀町,4,3,2
,,粟島浦村,5,3,1
,ｲ,出雲崎町,5,3,2
,,糸魚川市,5,3,2
,ｳ,魚沼市,4,2,2
,ｵ,小千谷市,4,3,2
,ｶ,柏崎市,5,3,2
,,加茂市,5,3,2
,,刈羽村,5,3,2
,ｺ,五泉市,5,3,2
,ｻ,佐渡市,5,3,2
,,三条市,5,3,2
,ｼ,新発田市,5,3,1
,,上越市,5,3,2
,ｾ,聖籠町,5,3,2
,,関川村,4,2,2
,ﾀ,胎内市,5,3,1
,,田上町,5,3,2
,ﾂ,津南町,4,3,3
,,燕市,5,3,2
,ﾄ,十日町市,4,3,2
,ﾅ,長岡市,5,3,2
,ﾆ,新潟市,5,3,2
,ﾐ,見附市,5,3,2
,,南魚沼市,4,3,2
,,妙高市,5,3,2
,ﾑ,村上市,4,3,2
,ﾔ,弥彦村,5,3,2
,ﾕ,湯沢町,4,3,3
16.富山県,ｱ,朝日町,5,3,2
,ｲ,射水市,5,3,2
,ｳ,魚津市,5,3,2
,ｵ,小矢部市,5,3,2
,ｶ,上市町,5,3,2
,ｸ,黒部市,5,3,2
,ﾀ,高岡市,5,3,2
,,立山町,5,3,2
,ﾄ,砺波市,5,3,2
,,富山市,5,3,2
,ﾅ,滑川市,5,3,2
,,南砺市,5,3,2
,ﾆ,入善町,5,3,2
,ﾋ,氷見市,5,3,2
,ﾌ,舟橋村,5,3,2
17.石川県,ｱ,穴水町,5,3,2
,ｳ,内灘町,5,3,2
,ｶ,加賀市,5,3,2
