RegionList,AnnualSolarLevelList,CalculationTargetRoomList,,BuildingTypeList,ModelBuildingList,WallTypeList,MaterialNumberList,MaterialNameList,JoineryList,WindowHeatTransferPerformanceList,DirectionList,BooleanList,HeatSourceStorageModeList,TypeList,OrderCoolingHeatingList,FlowControlList,AhuTypeList,AhuFlowControlList,VentilationUnitTypeList,VentilationControlFlag3List,VentilationAcRoomTypeList,OccupantSensingList,IlluminanceSensingList,TimeScheduleList,InitialIlluminationCorrectionList,WaterSavingList,HotwaterFuelTypeList,InsulataionList,ElevatorControlTypeList,GeneraionTypeList,InstallationModeList,ModelBuildingDirectionList,RoomTypeList,HeatExchangerList,TotalHeatExchangerMethodList
,,,,,,,126,高性能グラスウール断熱材　16K相当,,3LgG11,,,,温水ボイラ(重油),,,,,,,,,,,,,,,,,,,印刷室等,,
,,,,,,,127,高性能グラスウール断熱材　24K相当,,3LgG12,,,,温水ボイラ(灯油),,,,,,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,,,128,高性能グラスウール断熱材　32K相当,,3LgG13,,,,蒸気ボイラ(都市ガス),,,,,,,,,,,,,,,,,,,非主要室,,
,,,,,,,129,高性能グラスウール断熱材　40K相当,,3LgG14,,,,蒸気ボイラ(LPG),,,,,,,,,,,,,,,,,,,病室,,
,,,,,,,130,高性能グラスウール断熱材　48K相当,,3LgG15,,,,蒸気ボイラ(重油),,,,,,,,,,,,,,,,,,,浴室等,,
,,,,,,,131,吹込み用グラスウール　13K相当,,3LgG16,,,,蒸気ボイラ(灯油),,,,,,,,,,,,,,,,,,,看護職員室,,
,,,,,,,132,吹込み用グラスウール　18K相当,,3LsG06,,,,温水発生機(都市ガス),,,,,,,,,,,,,,,,,,,終日利用される廊下,,
,,,,,,,133,吹込み用グラスウール　30K相当,,3LsG07,,,,温水発生機(LPG),,,,,,,,,,,,,,,,,,,終日利用されるロビー,,
,,,,,,,134,吹込み用グラスウール　35K相当,,3LsG08,,,,温水発生機(重油),,,,,,,,,,,,,,,,,,,終日利用される共用部の便所,,
,,,,,,,141,吹付けロックウール,,3LsG09,,,,温水発生機(灯油),,,,,,,,,,,,,,,,,,,終日利用される喫煙室,,
,,,,,,,142,ロックウール断熱材(マット),,3LsG10,,,,パッケージエアコンディショナ(空冷式),,,,,,,,,,,,,,,,,,,診察室,,
,,,,,,,143,ロックウール断熱材(フェルト),,3LsG11,,,,パッケージエアコンディショナ(水冷式熱回収形),,,,,,,,,,,,,,,,,,,待合室,,
,,,,,,,144,ロックウール断熱材(ボード),,3LsG12,,,,パッケージエアコンディショナ(水冷式),,,,,,,,,,,,,,,,,,,手術室,,
,,,,,,,145,吹込み用ロックウール　25K相当,,3LsG13,,,,パッケージエアコンディショナ(水冷式地中熱タイプ1),,,,,,,,,,,,,,,,,,,検査室,,
,,,,,,,146,吹込み用ロックウール　65K相当,,3LsG14,,,,パッケージエアコンディショナ(水冷式地中熱タイプ2),,,,,,,,,,,,,,,,,,,集中治療室,,
,,,,,,,161,吹込み用セルローズファイバー　25K,,3LsG15,,,,パッケージエアコンディショナ(水冷式地中熱タイプ3),,,,,,,,,,,,,,,,,,,解剖室等,,
,,,,,,,162,吹込み用セルローズファイバー　45K,,3LsG16,,,,パッケージエアコンディショナ(水冷式地中熱タイプ4),,,,,,,,,,,,,,,,,,,レストラン,,
,,,,,,,163,吹込み用セルローズファイバー　55K,,3LgA06,,,,パッケージエアコンディショナ(水冷式地中熱タイプ5),,,,,,,,,,,,,,,,,,,事務室,,
,,,,,,,181,押出法ポリスチレンフォーム　保温板　1種,,3LgA07,,,,パッケージエアコンディショナ(水冷式地中熱タイプA),,,,,,,,,,,,,,,,,,,更衣室又は倉庫,,
,,,,,,,182,押出法ポリスチレンフォーム　保温板　2種,,3LgA08,,,,パッケージエアコンディショナ(水冷式地中熱タイプB),,,,,,,,,,,,,,,,,,,日中のみ利用される廊下,,
,,,,,,,183,押出法ポリスチレンフォーム　保温板　3種,,3LgA09,,,,パッケージエアコンディショナ(水冷式地中熱タイプC),,,,,,,,,,,,,,,,,,,日中のみ利用されるロビー,,
,,,,,,,184,A種ポリエチレンフォーム　保温板　1種2号,,3LgA10,,,,パッケージエアコンディショナ(水冷式地中熱タイプD),,,,,,,,,,,,,,,,,,,日中のみ利用される共用部の便所,,
,,,,,,,185,Ａ種ポリエチレンフォーム　保温板　2種,,3LgA11,,,,パッケージエアコンディショナ(水冷式地中熱タイプE),,,,,,,,,,,,,,,,,,,日中のみ利用される喫煙室,,
,,,,,,,186,ビーズ法ポリスチレンフォーム　保温板　特号,,3LgA12,,,,パッケージエアコンディショナ(水冷式地中熱タイプF),,,,,,,,,,,,,,,,,,,厨房,,
,,,,,,,187,ビーズ法ポリスチレンフォーム　保温板　1号,,3LgA13,,,,ガスヒートポンプ冷暖房機(都市ガス),,,,,,,,,,,,,,,,,,,屋内駐車場,,
,,,,,,,188,ビーズ法ポリスチレンフォーム　保温板　2号,,3LgA14,,,,ガスヒートポンプ冷暖房機(LPG),,,,,,,,,,,,,,,,,,,機械室,,
,,,,,,,189,ビーズ法ポリスチレンフォーム　保温板　3号,,3LgA15,,,,ルームエアコンディショナ,,,,,,,,,,,,,,,,,,,電気室,,
,,,,,,,190,ビーズ法ポリスチレンフォーム　保温板　4号,,3LgA16,,,,FF式ガス暖房機(都市ガス),,,,,,,,,,,,,,,,,,,湯沸室等,,
,,,,,,,201,硬質ウレタンフォーム　保温板　2種1号,,3LsA06,,,,FF式ガス暖房機(LPG),,,,,,,,,,,,,,,,,,,食品庫等,,
,,,,,,,202,硬質ウレタンフォーム　保温板　2種2号,,3LsA07,,,,FF式石油暖房機,,,,,,,,,,,,,,,,,,,印刷室等,,
,,,,,,,203,吹付け硬質ウレタンフォームＡ種１,,3LsA08,,,,地域熱供給(冷水),,,,,,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,,,204,吹付け硬質ウレタンフォームＡ種3,,3LsA09,,,,地域熱供給(温水),,,,,,,,,,,,,,,,,,,非主要室,,
,,,,,,,221,フェノールフォーム　保温板　1種1号,,3LsA10,,,,地域熱供給(蒸気),,,,,,,,,,,,,,,,,,,大型店の売場,,
,,,,,,,222,フェノールフォーム　保温板　1種2号,,3LsA11,,,,熱交換器,,,,,,,,,,,,,,,,,,,専門店の売場,,
,,,,,,,301,密閉中空層,,3LsA12,,,,電気式ヒーター,,,,,,,,,,,,,,,,,,,スーパーマーケットの売場,,
,,,,,,,302,非密閉中空層,,3LsA13,,,,電気蓄熱暖房器,,,,,,,,,,,,,,,,,,,荷さばき場,,
,,,,,,,,,,3LsA14,,,,温風暖房機(都市ガス),,,,,,,,,,,,,,,,,,,事務室,,
,,,,,,,,,,3LsA15,,,,温風暖房機(LPG),,,,,,,,,,,,,,,,,,,更衣室又は倉庫,,
,,,,,,,,,,3LsA16,,,,温風暖房機(重油),,,,,,,,,,,,,,,,,,,ロビー,,
,,,,,,,,,,3FA06,,,,温風暖房機(灯油),,,,,,,,,,,,,,,,,,,便所,,
,,,,,,,,,,3FA07,,,,ガスヒートポンプ冷暖房機(消費電力自給装置付、都市ガス),,,,,,,,,,,,,,,,,,,喫煙室,,
,,,,,,,,,,3FA08,,,,ガスヒートポンプ冷暖房機(消費電力自給装置付、LPG),,,,,,,,,,,,,,,,,,,厨房,,
,,,,,,,,,,3FA09,,,,,,,,,,,,,,,,,,,,,,,屋内駐車場,,
,,,,,,,,,,3FA10,,,,,,,,,,,,,,,,,,,,,,,機械室,,
,,,,,,,,,,3FA11,,,,,,,,,,,,,,,,,,,,,,,電気室,,
,,,,,,,,,,3FA12,,,,,,,,,,,,,,,,,,,,,,,湯沸室等,,
,,,,,,,,,,3FA13,,,,,,,,,,,,,,,,,,,,,,,食品庫等,,
,,,,,,,,,,3FA14,,,,,,,,,,,,,,,,,,,,,,,印刷室等,,
,,,,,,,,,,3FA15,,,,,,,,,,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,,,,,,3FA16,,,,,,,,,,,,,,,,,,,,,,,非主要室,,
,,,,,,,,,,2LgG06,,,,,,,,,,,,,,,,,,,,,,,小中学校の教室,,
,,,,,,,,,,2LgG07,,,,,,,,,,,,,,,,,,,,,,,高等学校の教室,,
,,,,,,,,,,2LgG08,,,,,,,,,,,,,,,,,,,,,,,職員室,,
,,,,,,,,,,2LgG09,,,,,,,,,,,,,,,,,,,,,,,小中学校又は高等学校の食堂,,
,,,,,,,,,,2LgG10,,,,,,,,,,,,,,,,,,,,,,,大学の教室,,
,,,,,,,,,,2LgG11,,,,,,,,,,,,,,,,,,,,,,,大学の食堂,,
,,,,,,,,,,2LgG12,,,,,,,,,,,,,,,,,,,,,,,事務室,,
,,,,,,,,,,2LgG13,,,,,,,,,,,,,,,,,,,,,,,研究室,,
,,,,,,,,,,2LgG14,,,,,,,,,,,,,,,,,,,,,,,電子計算機器演習室,,
,,,,,,,,,,2LgG15,,,,,,,,,,,,,,,,,,,,,,,実験室,,
,,,,,,,,,,2LgG16,,,,,,,,,,,,,,,,,,,,,,,実習室,,
,,,,,,,,,,2LsG06,,,,,,,,,,,,,,,,,,,,,,,講堂又は体育館,,
,,,,,,,,,,2LsG07,,,,,,,,,,,,,,,,,,,,,,,宿直室,,
,,,,,,,,,,2LsG08,,,,,,,,,,,,,,,,,,,,,,,更衣室又は倉庫,,
,,,,,,,,,,2LsG09,,,,,,,,,,,,,,,,,,,,,,,廊下,,
,,,,,,,,,,2LsG10,,,,,,,,,,,,,,,,,,,,,,,ロビー,,
,,,,,,,,,,2LsG11,,,,,,,,,,,,,,,,,,,,,,,便所,,
,,,,,,,,,,2LsG12,,,,,,,,,,,,,,,,,,,,,,,喫煙室,,
,,,,,,,,,,2LsG13,,,,,,,,,,,,,,,,,,,,,,,厨房,,
,,,,,,,,,,2LsG14,,,,,,,,,,,,,,,,,,,,,,,屋内駐車場,,
,,,,,,,,,,2LsG15,,,,,,,,,,,,,,,,,,,,,,,機械室,,
,,,,,,,,,,2LsG16,,,,,,,,,,,,,,,,,,,,,,,電気室,,
,,,,,,,,,,2LgA06,,,,,,,,,,,,,,,,,,,,,,,湯沸室等,,
,,,,,,,,,,2LgA07,,,,,,,,,,,,,,,,,,,,,,,食品庫等,,
,,,,,,,,,,2LgA08,,,,,,,,,,,,,,,,,,,,,,,印刷室等,,
,,,,,,,,,,2LgA09,,,,,,,,,,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,,,,,,2LgA10,,,,,,,,,,,,,,,,,,,,,,,非主要室,,
,,,,,,,,,,2LgA11,,,,,,,,,,,,,,,,,,,,,,,レストランの客室,,
,,,,,,,,,,2LgA12,,,,,,,,,,,,,,,,,,,,,,,軽食店の客室,,
,,,,,,,,,,2LgA13,,,,,,,,,,,,,,,,,,,,,,,喫茶店の客室,,
,,,,,,,,,,2LgA14,,,,,,,,,,,,,,,,,,,,,,,バー,,
,,,,,,,,,,2LgA15,,,,,,,,,,,,,,,,,,,,,,,フロント,,
,,,,,,,,,,2LgA16,,,,,,,,,,,,,,,,,,,,,,,事務室,,
,,,,,,,,,,2LsA06,,,,,,,,,,,,,,,,,,,,,,,更衣室又は倉庫,,
,,,,,,,,,,2LsA07,,,,,,,,,,,,,,,,,,,,,,,廊下,,
,,,,,,,,,,2LsA08,,,,,,,,,,,,,,,,,,,,,,,ロビー,,
,,,,,,,,,,2LsA09,,,,,,,,,,,,,,,,,,,,,,,便所,,
,,,,,,,,,,2LsA10,,,,,,,,,,,,,,,,,,,,,,,喫煙室,,
,,,,,,,,,,2LsA11,,,,,,,,,,,,,,,,,,,,,,,厨房,,
,,,,,,,,,,2LsA12,,,,,,,,,,,,,,,,,,,,,,,屋内駐車場,,
,,,,,,,,,,2LsA13,,,,,,,,,,,,,,,,,,,,,,,機械室,,
,,,,,,,,,,2LsA14,,,,,,,,,,,,,,,,,,,,,,,電気室,,
,,,,,,,,,,2LsA15,,,,,,,,,,,,,,,,,,,,,,,湯沸室等,,
,,,,,,,,,,2LsA16,,,,,,,,,,,,,,,,,,,,,,,食品庫等,,
,,,,,,,,,,2FA06,,,,,,,,,,,,,,,,,,,,,,,印刷室等,,
,,,,,,,,,,2FA07,,,,,,,,,,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,,,,,,2FA08,,,,,,,,,,,,,,,,,,,,,,,非主要室,,
,,,,,,,,,,2FA09,,,,,,,,,,,,,,,,,,,,,,,アスレチック場の運動室,,
,,,,,,,,,,2FA10,,,,,,,,,,,,,,,,,,,,,,,アスレチック場のロビー,,
,,,,,,,,,,2FA11,,,,,,,,,,,,,,,,,,,,,,,アスレチック場の便所,,
,,,,,,,,,,2FA12,,,,,,,,,,,,,,,,,,,,,,,アスレチック場の喫煙室,,
,,,,,,,,,,2FA13,,,,,,,,,,,,,,,,,,,,,,,公式競技用スケート場,,
,,,,,,,,,,2FA14,,,,,,,,,,,,,,,,,,,,,,,公式競技用体育館,,
,,,,,,,,,,2FA15,,,,,,,,,,,,,,,,,,,,,,,一般競技用スケート場,,
,,,,,,,,,,2FA16,,,,,,,,,,,,,,,,,,,,,,,一般競技用体育館,,
,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,レクリエーション用スケート場,,
,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,レクリエーション用体育館,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競技場の客席,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競技場のロビー,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競技場の便所,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競技場の喫煙室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公衆浴場の浴室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公衆浴場の脱衣所,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公衆浴場の休憩室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公衆浴場のロビー,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公衆浴場の便所,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公衆浴場の喫煙室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,映画館の客席,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,映画館のロビー,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,映画館の便所,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,映画館の喫煙室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,図書館の図書室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,図書館のロビー,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,図書館の便所,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,図書館の喫煙室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,博物館の展示室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,博物館のロビー,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,博物館の便所,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,博物館の喫煙室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,劇場の楽屋,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,劇場の舞台,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,劇場の客席,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,劇場のロビー,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,劇場の便所,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,劇場の喫煙室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,カラオケボックス,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ボーリング場,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱちんこ屋,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競馬場又は競輪場の客席,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競馬場又は競輪場の券売場,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競馬場又は競輪場の店舗,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競馬場又は競輪場のロビー,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競馬場又は競輪場の便所,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,競馬場又は競輪場の喫煙室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社寺の本殿,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社寺のロビー,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社寺の便所,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社寺の喫煙室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,厨房,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,屋内駐車場,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,機械室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,電気室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湯沸室等,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,食品庫等,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,印刷室等,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,廃棄物保管場所等,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非主要室,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,倉庫,,
